id,pred_capped,pred_uncapped,goal_ss_num,goal_ss_char,SCORE,score_rank_z,studsig,NoPretest,anyimpute,capped_z_y17,c1,c2,c3,credit_t,credit_b,credit,asmt
0064,-0.706302563,-0.661706171,4,4,12,0.467698799,0.790429665,0,0,-1.281551566,-3.868021223,0.874556767,1.2697716,,1.000000000,1.000000000,PT
0065,0.331853346,0.294244667,73,73,60,-0.150969215,0.751103025,0,0,0.877896295,-2.672558753,1.834059396,2.209610909,,0.459018195,0.459018195,RG
0066,-0.994457883,-0.907408666,10,10,4.5,-1.880793608,0.781177022,0,0,-0.738846849,-4.119165972,0.567896161,0.958484672,,0.399317859,0.399317859,PT
0067,-0.201893479,-0.198552885,22,U,22,-0.279319034,0.593651788,0,0,-0.279319034,-2.576500633,0.985410098,1.282235992,,1.000000000,1.000000000,TC
0068,-0.643345405,-0.646403859,5418,5418,5439,0.150969215,0.642246970,0,0,0,-3.212333286,0.641148535,0.96227202,,1.000000000,1.000000000,PS
0069,0.075269862,0.068673172,70,70,83,1.475791028,0.843867550,0,0,0.915365088,-3.300200338,1.763004962,2.184938737,,1.000000000,1.000000000,RG
0070,0.125661347,0.165468616,23,V,23,0.025068908,0.606845903,0,0,0.025068908,-2.301722267,1.339353154,1.642776105,,1.000000000,1.000000000,TC
0071,-0.67448975,-0.677992565,61,61,60,0.358458793,0.842246566,0,0,0.439913166,-4.043476013,1.010003381,1.431126664,,0.954477218,0.954477218,RG
0072,0.806421247,0.870655889,25,X,25,0.738846849,0.626550629,0,0,0.738846849,-1.699781269,2.059522505,2.372797819,,1.000000000,1.000000000,TC
0073,-0.125661347,-0.13298705,13,13,6,-1.340755034,0.862780225,0,1,0.025068908,-3.576782246,1.599899103,2.031289215,,0.352930515,0.352930515,PT
0074,-0.67448975,-0.658172417,73,73,81,-0.201893479,0.644784353,0,0,-0.643345405,-3.253627163,0.615078956,0.937471133,,1.000000000,1.000000000,NY
0075,0.125661347,0.123891744,85,85,85,0.050153583,0.598447756,0,0,0.050153583,-2.268129678,1.322556859,1.621780737,,1.000000000,1.000000000,NY
0076,0.279319034,0.240323794,19,S,20,0.495850347,0.639952226,0,0,0.176374165,-2.280489868,1.559223486,1.879199598,,1.000000000,1.000000000,FP
0077,1.080319341,1.115062528,95,95,99,2.326347874,0.662216916,0,1,1.126391129,-1.568548324,2.404753173,2.735861632,,1.000000000,1.000000000,RG
0078,0.176374165,0.164773476,71,71,63,-0.331853346,0.644605063,0,0,0.125661347,-2.402046086,1.46558429,1.787886821,,0.621304563,0.621304563,RG
0079,-0.524400513,-0.594511066,5,5,5,-0.994457883,0.776660036,0,0,-0.994457883,-3.631040655,1.028919558,1.417249576,,1.000000000,1.000000000,PT
0080,-0.025068908,0.135126035,17,P,17,-0.050153583,0.527321617,0,0,-0.050153583,-2.134355378,1.029574326,1.293235135,,1.000000000,1.000000000,TC
0081,0.643345405,0.635334082,75,75,72,0.385320466,0.551377688,0,0,0.582841507,-1.562165345,1.746100781,2.021789624,,0.787710246,0.787710246,RG
0082,-1.174986792,-1.20417733,41,41,50,-0.994457883,0.819913299,0,0,-1.644853627,-4.454639986,0.464839805,0.874796454,,1.000000000,1.000000000,RG
0083,0.125661347,0.110636966,20,20,16.5,-0.176374165,0.858433019,0,0,0.227544977,-3.308070731,1.842527386,2.271743895,,0.743000347,0.743000347,PT
0084,0.495850347,0.462831363,15,N,14,-0.025068908,0.531305163,0,0,0.412463129,-1.629370304,1.558460673,1.824113254,,0.567269751,0.567269751,TC
0085,0.495850347,0.810651569,17,17,20,1.750686071,0.811101863,0,0,0.524400513,-2.748557105,2.118054073,2.523605005,,1.000000000,1.000000000,PT
0086,-1.174986792,-1.158790671,2277,2277,2682,-0.358458793,0.589809534,0,0,-1.22652812,-3.534224927,0.004632275,0.299537042,,1.000000000,1.000000000,PS
0087,0.075269862,0.101165568,248,248,276,0.841621234,0.932562618,1,0,0.075269862,-3.654980612,1.940395099,2.406676408,,1.000000000,1.000000000,ES
0088,0.305480788,0.190591849,14,14,10.5,-0.253347103,0.846816241,0,0,0.524400513,-3.081784175,1.99911327,2.42252139,,0.565107316,0.565107316,PT
0089,-0.385320466,-0.396489316,22,22,9,-1.40507156,0.860670451,0,1,-0.385320466,-3.828002271,1.336020436,1.766355662,,0.450646728,0.450646728,PT
0090,0.806421247,0.820161503,274,274,251,0.150969215,0.735466056,0,0,0.806421247,-2.135442975,2.277353358,2.645086386,,0.554094492,0.554094492,ES
0091,-0.524400513,-0.551671846,20,20,28,0.100433721,0.764428991,0,0,-0.524400513,-3.582116475,1.004457468,1.386671964,,1.000000000,1.000000000,PT
0092,0.582841507,0.504308358,12,K,13,0.806421247,0.926901924,1,0,0.524400513,-3.12476619,2.436645356,2.900096318,,1.000000000,1.000000000,TC
0093,-0.201893479,-0.06809865,8,H,9,0.050153583,0.596540267,0,0,-0.227544977,-2.588054547,0.991187055,1.289457188,,1.000000000,1.000000000,FP
0094,-1.126391129,-1.156176577,47,47,81,0.412463129,0.731875957,0,0,-0.915365088,-4.053894955,0.337360784,0.703298762,,1.051308111,1.051308111,RG
0095,-1.475791028,-1.444628306,38,38,85,0.738846849,0.930185814,0,1,-1.475791028,-5.196534283,0.384580599,0.849673506,,1.190427678,1.190427678,RG
0096,-1.036433389,-1.023434993,201,201,225,-0.738846849,0.571041143,0,0,-1.080319341,-3.320597962,0.105648897,0.391169468,,1.000000000,1.000000000,ES
0097,0.279319034,0.374938219,4,D,11,2.053748911,0.889434107,1,0,0.253347103,-3.278417394,2.058187249,2.502904302,,1.000000000,1.000000000,FP
0098,0.467698799,0.456487433,24,W,24,0.385320466,0.763985557,1,0,0.385320466,-2.588243429,1.995669913,2.377662692,,1.000000000,1.000000000,TC
0099,0.412463129,0.391782777,74,74,94,2.326347874,0.969767717,1,0,0.331853346,-3.466607737,2.351998563,2.836882421,,1.000000000,1.000000000,RG
0100,-0.877896295,-0.864280562,47,47,51,-0.877896295,0.760557283,0,0,-1.22652812,-3.920125428,0.643218272,1.023496913,,1.000000000,1.000000000,RG
